id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
29,Matrix B,WebServer,1.0,0.518351058647661,0.567589360515351,0.4346561579752081,2-to-1,0.15713516612861478,0.05674626339997047,0.3410828688154942,0.09210959404916903,0.15157191954453378,-0.020105384400952664,0.15574112254388256,-0.07711813209456701
30,Matrix C,WebServer,2.0,0.2625526151749801,0.2802508885285586,0.13127590771918468,4-to-1,0.20744921588695983,0.003271700214612145,0.5700646653720671,-0.630617975472743,0.09207769711202166,-0.036238397709753636,0.13030331848768203,-0.03062980806838
31,Matrix C,WebServer,2.0,0.47527916957783684,0.5073640032811507,0.20209822879668113,1-to-1,0.45688702438462675,0.007536404372509672,0.3900608942067129,0.10341926022171954,0.1312683435352842,-0.039519949160325085,0.20666292744924863,-0.026947180117668217
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5983728530024103,0.4684712091218009,2-to-1,,,,,,,,
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.2976788211507974,0.2330561379198291,2-to-1,0.13320207735496736,0.15791064864624785,0.08592394467806068,-0.0252817092549212,0.03148523561105895,-0.05305807781758673,0.11895712514042074,0.2321005996450916
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.4128904391328597,0.16303841036234612,1-to-1,0.29351744762726373,0.02718105457134448,0.27322776524671283,0.023428432603766203,0.12680087489138697,-0.03351329449258083,0.08410868409397965,-0.014161737985425756
35,Matrix A,WebServer,2.0,0.2630220239195611,0.28933600924179476,0.24479149617601967,2-to-1,0.1503877277562487,0.13951580473159983,0.11959076349565445,0.17127599121037332,0.01879528172994088,-0.012950890431176235,0.07089298499343194,0.10413806785464368
36,Matrix A,WebServer,1.0,0.4189518845598552,0.43308304074575427,0.273943657529515,4-to-1,0.10935639014287983,0.07139666080771125,0.11145524658767135,-0.39738892809924037,0.024008620120052636,-0.029675527544693506,0.08648387793029626,-0.03731702594370372
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6471693334175737,0.2555483231279551,1-to-1,0.7651241295457629,0.24422433135282737,0.8196944431964437,0.3070588991826518,0.2998131799120156,-0.06500664116805278,0.15085320246265643,0.05503693063708805
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7334285694008773,0.30219255568358805,2-to-1,0.9619185275444841,0.23582126485630237,1.0617734602361013,0.24108306492790438,0.6037636250822562,-0.19266953789880642,0.2834541653019773,0.027666228356441006
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.2703919289593353,0.2499229395912743,2-to-1,0.1368700909736712,0.051733641016110395,0.1122465768566628,-0.02971787390673931,0.06085863519310957,-0.016523272303282082,0.07428977527974756,0.010142738483275716
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5529605869813413,0.22783482937191465,2-to-1,0.5209416998453489,0.1098452748030625,0.6210417010097069,0.13759950709877627,0.16279952272363057,-0.030296046523650706,0.1028259038985829,0.03297955000325152
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33720540363768875,0.2132964561908062,4-to-1,0.09386649795019415,-0.06594011434045298,0.049393917391272905,-0.28041441951222706,0.018668268359389725,-0.10098488505661365,0.06987041833326202,-0.036466565290310594
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5685000944036914,0.2431390389720626,2-to-1,0.2689936131849332,0.09205403352821143,1.2465025216207537,-0.0332595737453431,0.4258906863472804,-0.06286835412533606,0.1884295976661718,0.03278492289203874
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5252582505580023,0.20922604158930747,1-to-1,0.49222809924944044,0.023327577567896947,0.41820786926626397,0.08709579948469182,0.15067644651692536,-0.04047341873332254,0.21699206858296785,-0.02604330669724945
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.295006487758892,0.23913392370166456,4-to-1,0.10384883275906753,-0.09079878235880462,0.16592959321438658,0.08824661586467523,0.05715871271908997,-0.02993769654974534,0.04897315023334528,0.06556293224084903
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.32319612520532925,0.2592698360101526,4-to-1,0.11243028774897998,-0.25882951749706706,0.17165952570902457,-0.19377189637724546,0.035399227472856724,-0.11901835223017511,0.1069342472254572,-0.2177341523165019
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5055200839723222,0.417028520193417,1-to-1,0.3572615937884342,0.20097092945496192,0.6429146187797338,0.3665032913250482,0.10532002424702351,-0.024471996857737786,0.0958715643986986,0.09262062096799842
47,Matrix A,WebServer,2.0,0.6494533494271933,0.6706536443222397,0.42421635034110006,4-to-1,0.20100228034702589,0.05871865786475806,0.22394954165253,-0.24739442837476164,0.048103943641063907,-0.07051991676247264,0.09902913306031029,0.007582891008471383
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.5451309502332878,0.4428992277117569,1-to-1,0.24257703929065808,-0.06465748450244838,0.2624127933601081,0.012145385111041632,0.2321853412066532,-0.0774111219464272,0.1896456976491758,-0.17855600832950658
49,Matrix A,WebServer,2.0,0.2777694326655076,0.30555710875773134,0.25851528823972125,2-to-1,0.1483353603326565,0.09996315301576454,0.13031038607098533,0.1518303104031298,0.02248528684442144,-0.020347558803985578,0.06765863423236636,0.09940496762365846
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6635281600938522,0.547377197256831,1-to-1,0.6318837843916622,0.11226841222985652,1.0665230976489153,0.3251044797891241,0.24557437552544925,-0.13456847623865958,0.13273787325522343,-0.026530197316192033
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.4573698183009906,0.29648414777798116,4-to-1,0.1410586904986738,0.12465852650061338,0.08867874248239487,-0.17573574392253422,0.061859212323660304,-0.019497916709273144,0.0664890386812294,0.023481279652476254
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6239258477473762,0.2549242116412136,1-to-1,0.35979872852613526,0.13802841365200164,1.487150580438588,0.07565657846644988,0.6151914097755874,-0.11007640883297838,0.2576837303319962,-0.007783443978898245
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.75618117348696,0.30895775894643657,1-to-1,1.649061558725558,0.16474861902130675,2.116625272136074,0.28631448133799775,1.823019642522788,-0.30700107060573256,0.7676967631401601,-0.15880543774600253
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.4079827060440853,0.16669395902301767,1-to-1,0.09995572848010043,0.039336869344452054,0.6966878945391912,-0.3083919188967814,0.18026791460081237,-0.02868602820785377,0.07795716498844998,0.001910536904091433
