id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1,bfsz
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.3931143231167012,0.3492118100544547,2-to-1,0.07258250562452506,-0.06895454784799614,20950.0,0.0,12.059336790170029,40.0
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.44111824716553605,0.35860741680501407,4-to-1,0.7381145293913588,-0.01635183768458963,7574.0,0.0,17.98865142395705,40.0
149,Matrix B,Hadoop,2.0,0.492439325719155,0.497371957894119,0.4011827825696003,4-to-1,0.15102417346970962,0.04976532798270744,27979.0,1.0,15.299167315993591,40.0
150,Matrix C,WebServer,2.0,0.7165477704140878,0.7472038145304855,0.3577739139658861,4-to-1,0.060955510973806096,-0.055567534940766064,12408.0,0.0,17.625797375452027,40.0
151,Matrix C,Hadoop,1.0,0.42582408589101306,0.4406933372094711,0.17964989280447616,1-to-1,0.028273651836150424,-0.149058665359127,20841.0,0.0,19.881573499437557,40.0
152,Matrix B,WebServer,1.0,0.43017195695609256,0.4349436357383501,0.35070167769765287,4-to-1,0.06093715814898494,-0.21665006583131025,23614.0,0.0,19.59940877961543,40.0
153,Matrix A,WebServer,2.0,0.25206033685414797,0.26498500936800023,0.2234375507164583,1-to-1,0.055940473132557685,-0.22896079323674748,26797.0,1.0,14.856207448745861,40.0
154,Matrix B,CacheFollower,2.0,0.6012296386065648,0.6050576598054195,0.493725059146096,1-to-1,0.21729695496675427,-0.15963898439491997,9080.0,0.0,15.286238490684,40.0
155,Matrix C,Hadoop,1.0,0.3144567544030674,0.32543333855182993,0.13266382640734145,1-to-1,-0.004705620878003627,-0.05850277785167725,18225.0,0.0,11.090020440411934,40.0
156,Matrix C,Hadoop,2.0,0.710536714562492,0.733936788977702,0.3126632960422931,2-to-1,0.13370585732473428,-0.00662293727692232,24176.0,1.0,19.798212994007336,40.0
