id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
22,Matrix C,WebServer,2.0,0.30340988002115266,0.3209595349367629,0.13368842193572644,2-to-1,0.25245261515691614,0.036038132126450545,0.25245261515691614,0.036038132126450545,0.0915284961584898,-0.02924430602267322,0.9720340201993463,-0.7056650965764827
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.2903382371737329,0.13571975635525182,4-to-1,0.18045763174526458,0.0051622831882354794,0.18045763174526458,0.0051622831882354794,0.11130410823169282,-0.01860571709030723,0.860542853610048,-0.6555731605536169
24,Matrix B,WebServer,2.0,0.349409375763963,0.3865985644249784,0.291896234382291,2-to-1,0.008445667161265016,0.34376302248225754,0.008445667161265016,0.34376302248225754,0.00132550680997707,0.01883459322050483,0.016814336830219986,-0.015688824404385113
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6391006109937669,0.5676541099966158,2-to-1,0.5786870617804882,0.1737970497922499,0.5889622750167507,0.20157691900852168,0.23220569209683056,-0.08103856334361657,1.4096192884101422,-0.3521898152962398
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3099254471677211,0.27363084547914696,1-to-1,0.1675052114418204,0.08522490121994572,0.13572733598716333,0.07414144792352466,0.07296649702887939,0.005130037985735811,0.2933545024481024,-0.4250008203135134
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.33320107712951025,0.26799816528683257,4-to-1,0.024713165200820356,0.3188945794232511,0.024713165200820356,0.3188945794232511,0.0008657347401689412,-0.04396378175904917,0.002523990682289355,-0.13583968181630557
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.40014576254534007,0.25430300039083925,4-to-1,0.13260972209812222,-0.01715486358838483,0.16006159345573348,0.017019526470987364,0.023835582968150856,-0.018563841385182064,0.22872205216401612,-0.4873503137106081
29,Matrix B,WebServer,1.0,0.518351058647661,0.5741427219444657,0.4335004985832565,2-to-1,0.01544394082264484,0.3181145143021535,0.01544394082264484,0.3181145143021535,0.00727691630688152,-0.051343337929071135,0.015209113635093108,-0.14324527291808395
30,Matrix C,WebServer,2.0,0.2625526151749801,0.2776957933072617,0.1311803639835022,4-to-1,0.203006399820433,0.04158909454659196,0.203006399820433,0.04158909454659196,0.0905994460749848,-0.023096967670725884,0.7671810474675903,-0.714678563770605
31,Matrix C,WebServer,2.0,0.47527916957783684,0.5027664428096487,0.20073255866167677,1-to-1,0.45350782377232135,0.09743523697526534,0.45350782377232135,0.09743523697526534,0.14746036339093027,-0.029618457018508505,2.070011813254181,-0.5762091585405235
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.6114185303454169,0.4672767310062364,2-to-1,0.06965656506004866,1.211094668561597,0.06965656506004866,1.211094668561597,0.0023331790847835473,-0.00013802883451936691,0.021906248039337998,-0.21615124835589936
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.3044130375377128,0.2326485170885256,2-to-1,0.020350948174112482,0.19718648534960573,0.020350948174112482,0.19718648534960573,0.0008600955892660566,-0.048419214963593686,0.0019000588318565889,-0.0627603669851675
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.4117452403778879,0.1625872676787446,1-to-1,0.3217229080642937,0.005911359535936457,0.3217229080642937,0.005911359535936457,0.14654331157445655,-0.03452707244116527,1.4600363277400212,-0.5781404775544384
35,Matrix A,WebServer,2.0,0.2630220239195611,0.27374925408258804,0.246100502869082,2-to-1,0.13273320394916147,0.1554407262422121,0.13926130532221587,0.12931865886257826,0.03982867666012475,-0.04376310697071816,0.3119425684200109,-0.4917705622637667
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4297717016497698,0.27358640588260835,4-to-1,0.11882875091149409,0.06467882530196442,0.09624005905557349,0.09155303161353893,0.027466075660379837,-0.02755889477384633,0.22117618835623626,-0.5679562276241359
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6453608056156781,0.2548358542173484,1-to-1,0.590003023792955,0.1357806680650452,0.590003023792955,0.1357806680650452,0.34008237205683456,-0.1022599079050497,3.3616070815766808,-0.2861131893063556
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7298034818208773,0.3006560688323523,2-to-1,0.6753723478995656,0.1961451523015497,0.6753723478995656,0.1961451523015497,0.6979951761151157,-0.18002382570268022,4.564266301845241,-0.2699450087910405
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.26977553486150013,0.25143434930493463,2-to-1,0.1862355769650762,-0.05842200038296537,0.16948894562202596,-0.04125455494455798,0.0587535748259065,-0.06352994520151134,0.29287790993107304,-0.43405850096047915
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5501926136670258,0.22666204319657499,2-to-1,0.4748244611228698,0.0705686096580349,0.4748244611228698,0.0705686096580349,0.20689045672865197,-0.037724766097494776,2.48444842405554,-0.40338420258093727
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33508700534621116,0.2133110888366479,4-to-1,0.0819082509628739,0.05306599857488978,0.06589638247789201,-0.0006758103602557604,0.017929888109430126,0.0031313912243066035,0.15809670125567324,-0.5137901880747253
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5637179755636486,0.2435018071261114,2-to-1,0.27349478506216957,0.052487613257490184,0.27349478506216957,0.052487613257490184,0.4046933752169634,-0.07177335631846442,2.045573994731448,-0.32971860636180106
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5203696026447447,0.20776072722793112,1-to-1,0.46905992059318247,0.08484679786795203,0.46905992059318247,0.08484679786795203,0.15598874751892988,-0.04425860057918493,2.206983888550885,-0.5642253580444245
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29431857595793565,0.2392131786249969,4-to-1,0.0060913666223764654,-0.18384970200645287,0.0060913666223764654,-0.18384970200645287,0.0006820971277935004,0.0005983637841460512,0.0015063043894363909,2.3191146027087224e-05
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.322310420738393,0.2592378902237235,4-to-1,0.026058007120240367,0.538610009212436,0.026058007120240367,0.538610009212436,0.0008425871121516995,0.03417905444656994,0.002394267631323397,-0.08308126226056485
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.49913290831822205,0.4201289021176198,1-to-1,0.31225245697915466,0.07132900547199732,0.3620293316910894,0.10334132427973017,0.10794698885913996,-0.053762249683793936,0.8834502117330709,-0.38200891472750803
47,Matrix A,WebServer,2.0,0.6494533494271933,0.6660625591590847,0.4240048926418974,4-to-1,0.17800799683195567,0.04717839174645637,0.12389318244411848,0.03351709004806365,0.06279759424596351,0.004392770170243941,0.5619868251205973,-0.5201293129758577
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.5464211110481919,0.4421367177384328,1-to-1,0.008872784815255004,0.10616128849666517,0.008872784815255004,0.10616128849666517,0.004929889377916172,-0.03044744382020175,0.005945004745861401,-0.02455295579548535
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2890590907716998,0.25986404178294226,2-to-1,0.14614158029852498,0.11196179213565358,0.14665247758000696,0.06981015064740331,0.025070029993009762,0.004744746384396469,0.3267705576451435,-0.5009240547726737
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.65512130135201,0.5514270618733917,1-to-1,0.5377500255268879,0.03599977385721207,0.6140126842605876,0.05419999377270261,0.29753212039923493,-0.11214250454808776,1.5243113806889457,-0.4067201339355805
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.4585748914759288,0.2968049443306997,4-to-1,0.13912511788521645,-0.02390148515509545,0.15970369953077268,0.006623618740965809,0.05052626982767264,0.015953094380165456,0.2112425866243512,-0.47201556875982414
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6187029635690903,0.2552211267682152,1-to-1,0.34652282244983623,0.0770060824680146,0.34652282244983623,0.0770060824680146,0.5849042745692399,-0.11393694767917052,2.5322685252627286,-0.2923666527731564
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7482421861026668,0.30865582407516357,1-to-1,1.3655018223245854,0.13167778015844198,1.3655018223245854,0.13167778015844198,1.9008871774941976,-0.30915082732704713,5.049345807536587,-0.355380697848342
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.4045427571420601,0.16687791134613553,1-to-1,0.08551844048395278,0.005987918540649175,0.08551844048395278,0.005987918540649175,0.17949030232528257,-0.0319301864307628,1.0705060534730255,-0.503687064399388
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5842711616670707,0.37193778229978774,4-to-1,0.17517614448986957,0.054445515754717774,0.12296732783811906,-0.01452444340881343,0.0589737164287923,-0.02207722064601164,0.4464365559730685,-0.534842731659796
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5596187006176395,0.49408203189827793,1-to-1,0.6806067595897831,0.15918867050879068,0.581950486215204,0.14878775659659946,0.258685519104655,-0.11467800092564297,1.0148667994878757,-0.32014266538759756
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6630902187570227,0.5067668289304981,2-to-1,0.015328485279780691,-0.02658046802712338,0.015328485279780691,-0.02658046802712338,0.009527973345750954,-0.15318720451715806,0.029566198113013968,-0.3526589424614413
58,Matrix A,WebServer,1.0,0.46186434056093467,0.4806643480181017,0.4094169383150945,1-to-1,0.2851946180591816,0.25706339919813853,0.26679861334282895,0.20661956858160221,0.06642907006150364,-0.004325263563456039,0.7731621739587694,-0.4474242045432364
59,Matrix A,WebServer,1.0,0.36963396623102673,0.3845849096318264,0.3457416668009766,2-to-1,0.17520083937507025,0.0799797684234782,0.1961245827558501,0.057439770081861734,0.0893898074314669,-0.05045528395845637,0.5501451995093052,-0.5333274305990776
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5949017846660761,0.47848760930612527,4-to-1,0.023777095216207387,0.1716867879620038,0.023777095216207387,0.1716867879620038,0.0014070407278125193,-0.00039439367767925927,0.020455305675127607,-0.22445905333809846
