id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,p99__ns3__mlsys
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5186675108957174,0.333296443444509,4-to-1,0.15419924339750302,0.12070583358570575,-0.2809714098580686
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.4751979463886576,0.3877600007051552,1-to-1,0.1196359140807782,0.014072543936902172,-0.30322783530016134
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5244935387673176,0.33703606342571235,4-to-1,0.17780922199483729,0.07196004564741545,-0.35376225619808477
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5498071678071677,0.2705596877818729,4-to-1,0.04145688508000857,0.03650952873647018,-0.7473666435965628
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7748544133669228,0.651067264100649,1-to-1,0.5847088586222386,0.15161765807449615,0.06675413019770043
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6071164236968127,0.2627250522264428,2-to-1,0.08766490793325975,0.05381797942098059,-0.7686601218572205
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.3972237873824608,0.33376793895379164,1-to-1,0.08356451195697173,0.017732235639658485,-0.21109123355266274
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5653000142756848,0.2446293165104797,2-to-1,0.0736670836532953,0.04152318116187148,-0.7563560235154815
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6578943818213364,0.4227632833926664,4-to-1,0.3927418526298435,0.27506778877101157,-0.3000933466019464
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6360154856238712,0.5596482312672021,1-to-1,0.32914918612912636,0.11163510743679622,-0.09598947189173483
86,Matrix C,WebServer,2.0,0.308329956610627,0.3215686795100847,0.15397256124575898,4-to-1,0.05250091384244167,0.030385217294552364,-0.6757145703064407
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5790179773110095,0.25056566153141907,2-to-1,0.07720200791160299,0.044225890100279684,-0.7602013447082607
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5096258664357194,0.21526888186782514,2-to-1,0.09346920214453125,0.061989637649872247,-0.7358584638128084
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.5941731523301393,0.4778489329218192,1-to-1,0.1855845437107754,0.052671239847438156,-0.06252174120093879
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.5915351908614042,0.4970342707730313,1-to-1,0.22832949007278439,0.08818352351059434,-0.07190407624158107
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38276271040085785,0.16168115887800572,2-to-1,0.06454409956541313,0.03844025344474582,-0.7058252005021917
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38561344399812586,0.3425454010615902,2-to-1,0.10321091365671536,0.022982255549512397,-0.3398533820321245
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.36397848980699427,0.2958959855962494,4-to-1,0.1306616853481638,0.03644492252351853,-0.31313388199649617
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7263454247233023,0.6034177311426818,2-to-1,0.5595649773060013,0.08363667569763604,-0.32292619939786676
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29452862858243345,0.127455042076386,2-to-1,0.018470611512012965,0.006306235162198836,-0.63783647522468
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.3947527188822978,0.3473542168557043,1-to-1,0.11040077356722622,0.04271570362848597,-0.19264476129272418
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7161470141138513,0.5949453135195738,2-to-1,0.5340829088259759,0.08205393447579712,-0.3232108333755167
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.3070014641576233,0.25795848385574277,1-to-1,0.056281616843196956,0.02588784708107022,-0.24722497272464716
99,Matrix A,WebServer,2.0,0.3360553892659176,0.35335799626348496,0.2979543837884375,1-to-1,0.08824914186709056,0.07132358338746343,-0.17948952854612465
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.37619794106704263,0.3125296867491665,2-to-1,0.11526804287233265,0.017586746393079607,-0.3341895627221445
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.4184129526936656,0.1810650666588571,2-to-1,0.019703333921594395,0.053434422430761054,-0.716102182201656
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.4934675749405576,0.3213301854024944,4-to-1,0.1410277883165839,0.08283522411284606,-0.3049948681930405
103,Matrix C,WebServer,1.0,0.3493656036161469,0.36501703505779937,0.1747765903994567,4-to-1,0.05746013821817634,0.026361705661432807,-0.6968793364290675
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.734895366759939,0.6466554690964896,1-to-1,0.5499465782344733,0.13034318473140233,-0.09033865479031718
105,Matrix C,CacheFollower,2.0,0.5642609863149368,0.5681098593442037,0.27956645992617474,4-to-1,0.07833949023584143,0.0434677208748093,-0.7560708839386071
106,Matrix A,CacheFollower,1.0,0.6016512914975161,0.6044818145277923,0.5616494885829553,2-to-1,0.373109429505425,0.11723327210691047,-0.21777413688812747
107,Matrix B,WebServer,2.0,0.34208557771505443,0.34576151171762054,0.2787922333199375,4-to-1,0.08136472821597626,0.07343410144230048,-0.28794293516607683
108,Matrix B,CacheFollower,1.0,0.6422320509290859,0.6466976031713325,0.5277031708052036,1-to-1,0.24896429332180658,0.048051245939182995,-0.27830478598955954
109,Matrix A,WebServer,2.0,0.4584110642684848,0.4819403866495387,0.4297499439836793,2-to-1,0.18804931216514117,0.07584881669619563,-0.3185220817156956
110,Matrix C,CacheFollower,1.0,0.6698157913107089,0.6756844918142018,0.29239739535497516,2-to-1,0.07309574326151179,0.05585890404605845,-0.7929192280232483
111,Matrix B,WebServer,1.0,0.4433183807243915,0.4483604488828261,0.3615198585073821,4-to-1,0.12854967729487154,0.0817990960429243,-0.3435682167361648
112,Matrix C,Hadoop,1.0,0.737859350819907,0.7636383846921988,0.36862665553259993,4-to-1,0.17835738016784208,0.11484103437442665,-0.8077601982048188
113,Matrix B,CacheFollower,2.0,0.6796948012432781,0.6807383251052582,0.5534056085134275,4-to-1,0.7500487555993858,0.2153831683669159,-0.3116320417905827
114,Matrix A,CacheFollower,1.0,0.3101633401350973,0.3116338212583124,0.2895520959152616,2-to-1,0.08427606366990038,0.054368684989342116,-0.2900486674558964
115,Matrix A,WebServer,1.0,0.6349799138648079,0.6470617734232322,0.41580277009211297,4-to-1,0.335115777383103,0.23656868828735633,-0.2971047404622695
116,Matrix C,WebServer,1.0,0.6780269746651542,0.7084673846192295,0.3392266715876912,4-to-1,0.14230198643450154,0.03898049529521866,-0.7822052048223929
117,Matrix A,Hadoop,1.0,0.582595013654567,0.5928439894680554,0.3809580447725241,4-to-1,0.24317538873343933,0.09789827407128303,-0.3657775506487961
118,Matrix A,WebServer,1.0,0.7472724190064007,0.7612003411222432,0.4891483679484423,4-to-1,0.6728494616531949,0.4871533897306813,-0.32061522528412384
119,Matrix C,Hadoop,2.0,0.49326275395570457,0.5095000708078621,0.20769883291646432,1-to-1,0.08511249961369245,0.027239294246536372,-0.7584032518128974
120,Matrix B,WebServer,1.0,0.461828272407843,0.4669585605108202,0.3765157991594356,4-to-1,0.14427079125138026,0.08376707434375118,-0.35583308654360846
121,Matrix A,WebServer,2.0,0.49493995903119375,0.5203090637183372,0.4639635879694334,2-to-1,0.22954880356134777,0.08865443161765732,-0.3014588888360836
