id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6256956632566842,0.2550666174024014,1-to-1,0.020185206744643046,0.029378638786820982
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7059739488900355,0.3007508890208525,2-to-1,0.058065118107507585,0.11773732189404569
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.2706457266553935,0.2514692270127066,2-to-1,0.06321744656332134,-0.008497363791540665
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5322486129328099,0.2267424226861392,2-to-1,0.02738370648947114,0.03188005348577593
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33254577055776346,0.21369409093095804,4-to-1,0.07565383756585464,-0.01372688135747881
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5618630293742494,0.24314201128375607,2-to-1,0.034192597379063654,-0.03881960948903554
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5130852672169132,0.20728228393453274,1-to-1,0.06246071440547476,-0.12094471473348331
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29401569113025033,0.23901979139944232,4-to-1,0.03864274540033103,-0.034229329090195736
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.3194482932912132,0.2576686384368904,4-to-1,0.020247610694858312,8.243667290074056e-05
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5000982817941234,0.42020840161439726,1-to-1,0.049356874202555925,0.04767711213039115
47,Matrix A,WebServer,2.0,0.6494533494271933,0.661196684703691,0.4248853449951434,4-to-1,0.27989973091975284,-0.05770316529481277
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.543312053562992,0.44334084767759635,1-to-1,0.045238389402833555,0.014893597226310621
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2919814117608635,0.2603620672998521,2-to-1,0.06510607199436093,-0.00666386644176317
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6563320510802365,0.5514840825776127,1-to-1,0.10647358010946481,-0.017361433241478767
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.45579321488458013,0.2967978559907346,4-to-1,0.07700686356459839,-0.027087260046639104
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6166598019492793,0.2547563724232013,1-to-1,0.03776279854953432,-0.06926196623385672
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7440860266512216,0.3073991250465845,1-to-1,0.10927710237970299,-0.1641504675773217
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.40320785953282573,0.1665744569426098,1-to-1,0.039958490169087126,-0.0663613007974443
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5797191466521132,0.37252783528704475,4-to-1,0.1756271030378802,-0.03542504558434173
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5614364979856528,0.49402646430007735,1-to-1,0.11289800577287462,-0.04091655699509603
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6182224426056929,0.5062441893227462,2-to-1,0.0670624001574283,-0.002251722176393791
58,Matrix A,WebServer,1.0,0.46186434056093467,0.48610345191405774,0.40988988347380834,1-to-1,0.06563078653055722,-0.01964643842940597
59,Matrix A,WebServer,1.0,0.36963396623102673,0.38888270162775457,0.34677296845412536,2-to-1,0.07246315648111189,-0.045877028356567776
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5893622365373935,0.47538357630915967,4-to-1,0.08901558954843052,-0.028328596309688096
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5961395316100478,0.5295584428224889,2-to-1,0.10370938473884334,-0.02085450239387182
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.37933000362954566,0.3059695343681826,4-to-1,0.011131538675825827,-0.03458255199590679
63,Matrix B,WebServer,2.0,0.7311332739938902,0.74408901846797,0.6107182231472366,2-to-1,0.18560079331813353,0.05322016483942273
64,Matrix A,WebServer,1.0,0.4843775243854434,0.509824451154515,0.4546186743862665,2-to-1,0.07566890396180145,-0.05995257998787271
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.3541657616665898,0.28482892602303556,1-to-1,0.0027661025703680977,-0.03158190763343893
66,Matrix B,WebServer,2.0,0.35548132138250854,0.3618023036509193,0.291637739645032,1-to-1,0.07148967309976867,-0.019433018079437904
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4102431321936032,0.1747670532575838,2-to-1,0.027438623237082474,-0.019634183331228135
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2602780435058261,0.2136257091638966,2-to-1,0.059285788702304845,-0.04183800857333295
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.35022337901824185,0.14276933655226295,1-to-1,0.04016881511930087,-0.029253181628578914
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5153632972063835,0.3311690308663074,4-to-1,0.06984939557461912,0.07054267209443833
71,Matrix A,Hadoop,2.0,0.705462539767861,0.743575178303556,0.660527431417283,2-to-1,0.16941103935613977,-0.04937277361859845
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.505433260338382,0.40768507062652964,4-to-1,0.04016033778967158,-0.04027689688818757
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7548334585318939,0.6159416820633578,1-to-1,0.06954600574487077,0.04221986117968619
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6016357640993555,0.4937984565404442,2-to-1,0.11700914904129983,-0.01627667580492328
75,Matrix A,WebServer,1.0,0.34691401838273683,0.36514808084673667,0.32560842479408364,2-to-1,0.07009547209804039,-0.04101700762698907
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5186675108957174,0.333296443444509,4-to-1,0.12070583358570575,-0.045968444021907424
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.4751979463886576,0.3877600007051552,1-to-1,0.014072543936902172,-0.017164501104256623
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5244935387673176,0.33703606342571235,4-to-1,0.07196004564741545,0.0757278761583195
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5498071678071677,0.2705596877818729,4-to-1,0.03650952873647018,0.006584639655633184
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7748544133669228,0.651067264100649,1-to-1,0.15161765807449615,-0.05089963724568748
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6071164236968127,0.2627250522264428,2-to-1,0.05381797942098059,-0.004038591103674211
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.3972237873824608,0.33376793895379164,1-to-1,0.017732235639658485,0.06426719283761677
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5653000142756848,0.2446293165104797,2-to-1,0.04152318116187148,-0.018235937135178373
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6578943818213364,0.4227632833926664,4-to-1,0.27506778877101157,-0.05106937945061064
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6360154856238712,0.5596482312672021,1-to-1,0.11163510743679622,-0.07362972908284818
86,Matrix C,WebServer,2.0,0.308329956610627,0.3215686795100847,0.15397256124575898,4-to-1,0.030385217294552364,0.15124127058020156
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5790179773110095,0.25056566153141907,2-to-1,0.044225890100279684,-0.017400468468666472
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5096258664357194,0.21526888186782514,2-to-1,0.061989637649872247,-0.07862737838235298
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.5941731523301393,0.4778489329218192,1-to-1,0.052671239847438156,0.03806922942039547
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.5915351908614042,0.4970342707730313,1-to-1,0.08818352351059434,-0.003006607390279808
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38276271040085785,0.16168115887800572,2-to-1,0.03844025344474582,0.013590703679482199
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38561344399812586,0.3425454010615902,2-to-1,0.022982255549512397,0.06599310552840289
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.36397848980699427,0.2958959855962494,4-to-1,0.03644492252351853,-0.0589942719740108
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7263454247233023,0.6034177311426818,2-to-1,0.08363667569763604,-0.04290849897398733
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29452862858243345,0.127455042076386,2-to-1,0.006306235162198836,0.13626008422343658
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.3947527188822978,0.3473542168557043,1-to-1,0.04271570362848597,-0.030671968237957124
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7161470141138513,0.5949453135195738,2-to-1,0.08205393447579712,-0.04238259613543005
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.3070014641576233,0.25795848385574277,1-to-1,0.02588784708107022,0.08617880469854723
99,Matrix A,WebServer,2.0,0.3360553892659176,0.35335799626348496,0.2979543837884375,1-to-1,0.07132358338746343,-0.0022868649683017717
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.37619794106704263,0.3125296867491665,2-to-1,0.017586746393079607,-0.08368538210164557
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.4184129526936656,0.1810650666588571,2-to-1,0.053434422430761054,-0.03474220009745036
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.4934675749405576,0.3213301854024944,4-to-1,0.08283522411284606,-0.030596878914216995
103,Matrix C,WebServer,1.0,0.3493656036161469,0.36501703505779937,0.1747765903994567,4-to-1,0.026361705661432807,0.08738061087052004
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.734895366759939,0.6466554690964896,1-to-1,0.13034318473140233,-0.14480072223972731
105,Matrix C,CacheFollower,2.0,0.5642609863149368,0.5681098593442037,0.27956645992617474,4-to-1,0.0434677208748093,0.023270092859666462
106,Matrix A,CacheFollower,1.0,0.6016512914975161,0.6044818145277923,0.5616494885829553,2-to-1,0.11723327210691047,-0.08004119193882235
107,Matrix B,WebServer,2.0,0.34208557771505443,0.34576151171762054,0.2787922333199375,4-to-1,0.07343410144230048,-0.04227256847129504
108,Matrix B,CacheFollower,1.0,0.6422320509290859,0.6466976031713325,0.5277031708052036,1-to-1,0.048051245939182995,0.04015552120743313
109,Matrix A,WebServer,2.0,0.4584110642684848,0.4819403866495387,0.4297499439836793,2-to-1,0.07584881669619563,-0.05430512253389684
110,Matrix C,CacheFollower,1.0,0.6698157913107089,0.6756844918142018,0.29239739535497516,2-to-1,0.05585890404605845,-0.03212751974898293
111,Matrix B,WebServer,1.0,0.4433183807243915,0.4483604488828261,0.3615198585073821,4-to-1,0.0817990960429243,-0.08717643460752783
112,Matrix C,Hadoop,1.0,0.737859350819907,0.7636383846921988,0.36862665553259993,4-to-1,0.11484103437442665,0.15544133626397455
113,Matrix B,CacheFollower,2.0,0.6796948012432781,0.6807383251052582,0.5534056085134275,4-to-1,0.2153831683669159,-0.010535370568116629
114,Matrix A,CacheFollower,1.0,0.3101633401350973,0.3116338212583124,0.2895520959152616,2-to-1,0.054368684989342116,-0.026610723832487
115,Matrix A,WebServer,1.0,0.6349799138648079,0.6470617734232322,0.41580277009211297,4-to-1,0.23656868828735633,-0.057785202406665286
116,Matrix C,WebServer,1.0,0.6780269746651542,0.7084673846192295,0.3392266715876912,4-to-1,0.03898049529521866,0.024375037959826488
117,Matrix A,Hadoop,1.0,0.582595013654567,0.5928439894680554,0.3809580447725241,4-to-1,0.09789827407128303,0.04341024086477449
118,Matrix A,WebServer,1.0,0.7472724190064007,0.7612003411222432,0.4891483679484423,4-to-1,0.4871533897306813,-0.07659466541899917
119,Matrix C,Hadoop,2.0,0.49326275395570457,0.5095000708078621,0.20769883291646432,1-to-1,0.027239294246536372,-0.0027454646135795227
120,Matrix B,WebServer,1.0,0.461828272407843,0.4669585605108202,0.3765157991594356,4-to-1,0.08376707434375118,-0.09176015096335134
121,Matrix A,WebServer,2.0,0.49493995903119375,0.5203090637183372,0.4639635879694334,2-to-1,0.08865443161765732,-0.05918594026765815
122,Matrix A,CacheFollower,2.0,0.6731542124437904,0.6756298474713599,0.5945089532157306,1-to-1,0.1449657789298952,-0.09187662879372155
123,Matrix A,CacheFollower,1.0,0.6950740059962296,0.6983231191464002,0.6488413932740015,2-to-1,0.14275442594330526,-0.12120756601073837
124,Matrix C,CacheFollower,1.0,0.3308091745833327,0.33372177510010553,0.13786815445967743,1-to-1,-0.01561529434299464,0.07582265359714307
125,Matrix A,Hadoop,2.0,0.30602592697297515,0.3225602012688496,0.2865343914488864,2-to-1,0.02629144280125215,0.05238665109775173
126,Matrix C,Hadoop,2.0,0.4185834677713861,0.4323724288610895,0.20871632415694308,4-to-1,0.026634985500329382,0.014166090048605083
127,Matrix B,Hadoop,2.0,0.49824011701615384,0.5085771419192391,0.4090104036271317,1-to-1,0.03029631663970486,0.0038901914498740264
128,Matrix C,CacheFollower,1.0,0.45664101386204586,0.46065737219647673,0.22668914138117444,4-to-1,0.0570169757316341,-0.003075158735262469
129,Matrix C,Hadoop,1.0,0.39190538186072243,0.40558691362557575,0.19578657974718153,4-to-1,0.028185567951862976,0.001579978437905174
130,Matrix B,CacheFollower,1.0,0.6503440744522004,0.6548692291781056,0.5440383871254266,2-to-1,0.05221898535567059,-0.04619752277677456
131,Matrix A,Hadoop,2.0,0.5180003868085181,0.526591655028662,0.3383842990060595,4-to-1,0.07269520861881058,0.06547367210281511
132,Matrix A,CacheFollower,2.0,0.3419344937812453,0.3431985359275172,0.3188813346690091,2-to-1,0.05842238240013826,-0.02732430555553061
133,Matrix B,CacheFollower,1.0,0.3914071175035624,0.3941260287601652,0.3216055758547203,1-to-1,0.013686918344847561,-0.05856637314897995
134,Matrix C,Hadoop,2.0,0.4241574152059473,0.43812570268698375,0.2114935645286456,4-to-1,0.025874210203474413,0.01067551484194041
135,Matrix A,Hadoop,1.0,0.5683213427477707,0.5995964470551479,0.503811898175458,1-to-1,0.08440072300911025,-0.014439982115665674
136,Matrix A,CacheFollower,1.0,0.4954424477588005,0.4978006225345129,0.46252750430215395,2-to-1,0.07707306469635569,-0.03654617966949709
137,Matrix C,WebServer,2.0,0.3516087802067719,0.36663919880382984,0.14811926081665028,1-to-1,0.03618324257579625,-0.0016085962769059245
138,Matrix C,WebServer,1.0,0.6056627327176369,0.6327603838509115,0.267282017984506,2-to-1,0.037207348716373295,-0.05216185529775431
139,Matrix A,CacheFollower,2.0,0.36169084657817685,0.36304306459559554,0.3373197868437975,2-to-1,0.05699291776738211,-0.032871319152401615
140,Matrix C,Hadoop,2.0,0.26457544482013917,0.2732844551362082,0.11642149539279618,2-to-1,-0.005882561818581331,0.19104362388384796
141,Matrix B,CacheFollower,1.0,0.3146075118311099,0.31525704727719445,0.2562884579836418,4-to-1,0.03172888610829873,-0.03812247740890537
142,Matrix A,Hadoop,2.0,0.6382770065410617,0.6727584812135267,0.5652817048162649,1-to-1,0.12102380916226582,-0.03442656984177113
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6238857635404568,0.5182985998257874,2-to-1,0.04305382223393024,-0.0508071035742163
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.39461252711750094,0.2535753882347755,4-to-1,0.050690110362575216,0.0827354908791929
145,Matrix C,WebServer,1.0,0.5497249697782385,0.5744100630620372,0.2750376630863086,4-to-1,0.05079725400754225,-0.021180033717291335
146,Matrix B,WebServer,2.0,0.4873949190368663,0.4960593535552937,0.4071454885454842,2-to-1,0.06969308810461858,-0.0764654315650448
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.3931143231167012,0.3492118100544547,2-to-1,0.020845071495964384,0.0432356616395174
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.44111824716553605,0.35860741680501407,4-to-1,0.024448093660643443,-0.08976593008146093
149,Matrix B,Hadoop,2.0,0.492439325719155,0.497371957894119,0.4011827825696003,4-to-1,0.036178827039949533,-0.03833247607243551
150,Matrix C,WebServer,2.0,0.7165477704140878,0.7472038145304855,0.3577739139658861,4-to-1,0.07346679421776114,0.05543583073009183
151,Matrix C,Hadoop,1.0,0.42582408589101306,0.4406933372094711,0.17964989280447616,1-to-1,0.024947047718490212,-0.049684852165462284
152,Matrix B,WebServer,1.0,0.43017195695609256,0.4349436357383501,0.35070167769765287,4-to-1,0.08095048308831243,-0.0833987734520377
153,Matrix A,WebServer,2.0,0.25206033685414797,0.26498500936800023,0.2234375507164583,1-to-1,0.06184323980725578,0.026061997604733295
154,Matrix B,CacheFollower,2.0,0.6012296386065648,0.6050576598054195,0.493725059146096,1-to-1,0.0610365316194217,0.03284143673473431
155,Matrix C,Hadoop,1.0,0.3144567544030674,0.32543333855182993,0.13266382640734145,1-to-1,0.02708919007576068,-0.014097938416709014
156,Matrix C,Hadoop,2.0,0.710536714562492,0.733936788977702,0.3126632960422931,2-to-1,0.09217182422475713,0.12808645686895537
157,Matrix B,CacheFollower,2.0,0.5464247734227365,0.5498849216869754,0.45682164511075923,2-to-1,0.049975126275851975,-0.04341995874374961
158,Matrix B,WebServer,2.0,0.46445782633635463,0.4726581003635687,0.38099519718506386,1-to-1,0.06655343850143051,-0.0160152211560043
159,Matrix A,CacheFollower,1.0,0.35483917027680567,0.3565264194897374,0.33126369789229204,2-to-1,0.05137636030557558,-0.02566511901514601
160,Matrix C,WebServer,1.0,0.46012220978164114,0.48075413271826317,0.20307360898864502,2-to-1,0.058643559338871325,-0.0745237891416661
161,Matrix C,Hadoop,1.0,0.4869788383872355,0.5039891926865204,0.2054526283845894,1-to-1,0.026912973877596003,-0.026103535955171456
162,Matrix B,WebServer,2.0,0.35743736808149074,0.3637530714224227,0.2932101937057288,1-to-1,0.0707576138124545,-0.023864234087507718
163,Matrix A,Hadoop,2.0,0.2607629057674832,0.27485549090962674,0.24415768129982313,2-to-1,0.034893192401327225,0.09976656605264055
164,Matrix A,CacheFollower,1.0,0.2862987474854347,0.2864041407146816,0.1864971485661687,4-to-1,0.08806439147890177,0.09286570550658897
165,Matrix C,Hadoop,1.0,0.4976038462949421,0.5149861709071919,0.20993557784617842,1-to-1,0.026955679860426233,-0.01225259628143581
166,Matrix A,Hadoop,2.0,0.4377477482944125,0.46142371803852084,0.38770880372969035,1-to-1,0.038540087132011576,0.05838628530931327
167,Matrix C,Hadoop,2.0,0.3739547223548296,0.3862690434314813,0.18646113743542864,4-to-1,0.03143594427281259,0.011100928901055393
168,Matrix B,WebServer,2.0,0.35186803852402815,0.35808954139462273,0.2939054374238471,2-to-1,0.07380833945286477,-0.06123578282067848
169,Matrix B,CacheFollower,1.0,0.49779345206767084,0.5012415547882461,0.4164108418623386,2-to-1,0.017046094347812946,-0.05949955369141939
170,Matrix C,WebServer,1.0,0.45969779337288225,0.48027272129191007,0.1940265828657173,1-to-1,0.06185434514434425,-0.10167627916961834
171,Matrix C,CacheFollower,2.0,0.3899553900952213,0.3926340537512778,0.1622061969519101,1-to-1,0.06684891639429935,-0.07199540179598651
172,Matrix B,WebServer,1.0,0.6690420765770847,0.6813949684296395,0.5492517433263666,1-to-1,0.15047180464541707,0.12879744081212652
173,Matrix C,CacheFollower,2.0,0.3960337478872348,0.3987388385896892,0.19621910043073512,4-to-1,0.07083109614528099,0.034781396014509344
174,Matrix C,Hadoop,2.0,0.46849940132410967,0.4839178971064624,0.20615312788917556,2-to-1,0.02844126461987866,0.013043046181405893
175,Matrix B,WebServer,1.0,0.491735519764727,0.5007680512151914,0.41101029142005086,2-to-1,0.0651307520215099,-0.08105294105716396
176,Matrix C,CacheFollower,1.0,0.6155246951323434,0.6209530516839035,0.3055705229434519,4-to-1,0.040400278558912456,0.020408608569573973
177,Matrix A,Hadoop,2.0,0.25428706454458816,0.26802122676883283,0.2252033979664633,1-to-1,0.033567716416280126,0.10623622325999
178,Matrix A,Hadoop,1.0,0.5249442952927075,0.5341775822216779,0.3432593581023307,4-to-1,0.06622063366379222,0.06509809861097733
179,Matrix B,WebServer,2.0,0.28461777988293036,0.28962823781060426,0.2334604389238341,1-to-1,0.06305546685889853,0.01773319431873395
180,Matrix C,WebServer,2.0,0.5959382679039567,0.6214304312828551,0.25105285091758384,1-to-1,0.04292958240974476,-0.07754922820639934
181,Matrix B,WebServer,2.0,0.3510081172036781,0.35473954752396963,0.28603134630693705,4-to-1,0.07572600524683182,-0.05315956509809741
182,Matrix C,WebServer,2.0,0.31519777454448783,0.32870810184796784,0.13279540547317914,1-to-1,0.030931293636316887,0.04390499648118866
183,Matrix B,WebServer,2.0,0.46696641106108877,0.4750990882916486,0.38994214919405373,2-to-1,0.06769338583674246,-0.07859679309938167
184,Matrix A,Hadoop,1.0,0.729101716771376,0.7692059298436461,0.683301979261454,2-to-1,0.17454082772174806,-0.04805753456535767
185,Matrix A,Hadoop,1.0,0.5614998547214793,0.5713611496472587,0.367153298834882,4-to-1,0.0822198906107893,0.0528021015548382
186,Matrix C,Hadoop,2.0,0.37802752671672857,0.3904752145864819,0.15917808652079443,1-to-1,0.029849674215801526,-0.057190575566530365
187,Matrix C,CacheFollower,2.0,0.6803397105255539,0.6850106065129138,0.29643317219622145,2-to-1,0.09054556182301088,-0.028004264682619923
188,Matrix A,CacheFollower,2.0,0.5369251655038476,0.5389030171758397,0.5007192495997745,2-to-1,0.12290411891252462,-0.055110332149032305
189,Matrix B,CacheFollower,1.0,0.555442435921554,0.5565845805058687,0.45247586090845276,4-to-1,0.051024306347960444,-0.04684242763358786
190,Matrix B,WebServer,2.0,0.6224102471231658,0.6291569988125584,0.5072978884497701,4-to-1,0.19288645550792785,-0.04519931652571085
191,Matrix C,WebServer,1.0,0.3017955243982935,0.31534016914934904,0.1273950669089622,1-to-1,0.020288072343831422,0.015470018912204439
