id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7298034818208773,0.3006560688323523,2-to-1,0.15036600075275142,0.058307603889539636,3.913348086762374,0.19037268929799528,0.41948046574900577,-0.017644443095440915
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.26977553486150013,0.25143434930493463,2-to-1,0.09398049021281915,0.0633040833130474,0.11656185194553322,0.14695094752381146,12.205277899785756,87.11752304048338
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5501926136670258,0.22666204319657499,2-to-1,0.10071073189928456,0.027020892249025794,2.314672250669916,0.14230496062544043,0.29732549214317555,-0.31135997907768226
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33508700534621116,0.2133110888366479,4-to-1,0.06091955864659436,0.07176917613156536,0.08069021540632451,0.312715519315602,0.04495864168328346,-0.23956313599367335
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5637179755636486,0.2435018071261114,2-to-1,0.041971037755327185,0.03178746472401057,2.176178251571136,0.1885721777871355,0.6342606489349907,-0.15151588837414245
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5203696026447447,0.20776072722793112,1-to-1,0.10405392852975,0.09459535827203,2.0414871817864286,0.29071626604119283,0.26647113798193134,-0.4076596311682111
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29431857595793565,0.2392131786249969,4-to-1,0.08806147623881576,0.04260212218382355,0.3093735674035855,-0.6370378953447523,0.312414012042656,-0.6458466002546432
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.322310420738393,0.2592378902237235,4-to-1,0.06803518058736237,0.023439189409281937,0.25534445159625174,-0.717304971697701,0.2614397977972729,-0.7819226901213407
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.49913290831822205,0.4201289021176198,1-to-1,0.1389020361314198,0.047847529513069954,0.3703306604934682,0.045056964228426345,20.650018917414698,126.58354275809464
47,Matrix A,WebServer,2.0,0.6494533494271933,0.6660625591590847,0.4240048926418974,4-to-1,0.41393322118842024,0.289007871278186,0.2327552231895864,0.1830193668686169,10.07504795954463,61.366477102797745
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.5464211110481919,0.4421367177384328,1-to-1,0.22741797538185238,0.05306412827756824,0.9468605039976925,-0.7411973351969191,0.9585422612636473,-0.7495175423645452
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2890590907716998,0.25986404178294226,2-to-1,0.07337939403064175,0.06816527477245238,0.14985587301655423,0.21586602883737036,0.7610488759829573,5.0602624615064
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.65512130135201,0.5514270618733917,1-to-1,0.30090744304111783,0.10631196230787347,0.586600429877619,-0.035999119814480736,28.310962114133396,134.872925124579
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.4585748914759288,0.2968049443306997,4-to-1,0.1143280187952876,0.07895517908752255,0.08449303355807565,0.18143660836431674,1.4557791884799007,9.478394653782278
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6187029635690903,0.2552211267682152,1-to-1,0.054915611744164365,0.033143534684553416,2.669461874833124,0.170463645377734,0.7795353213711743,-0.05514923674230736
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7482421861026668,0.30865582407516357,1-to-1,0.17320000243520262,0.11040299721292707,4.984738467597719,0.1428454599459324,1.900948858460715,0.07265443626962786
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.4045427571420601,0.16687791134613553,1-to-1,0.017073058159499572,0.04004331492622806,1.1544951246446067,0.41773254414268346,0.36995780650688875,-0.27633460195097515
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5842711616670707,0.37193778229978774,4-to-1,0.25839460159286975,0.17924393108624692,0.18576937410954886,0.17505213066829228,5.833367819187792,36.84698996069722
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5596187006176395,0.49408203189827793,1-to-1,0.3210006971108065,0.11323357325443512,0.38785126615316046,0.0001603849328689627,1057.9996458167584,3519.0751072533453
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6630902187570227,0.5067668289304981,2-to-1,0.2475204646796689,0.07179962060424501,0.9835466188329937,-0.7456056258865278,1.011915725906746,-0.7717507818786797
58,Matrix A,WebServer,1.0,0.46186434056093467,0.4806643480181017,0.4094169383150945,1-to-1,0.1441457210575755,0.07026868833402433,0.3188090325013102,0.09930747792533813,17.382596173206522,93.03136581246345
59,Matrix A,WebServer,1.0,0.36963396623102673,0.3845849096318264,0.3457416668009766,2-to-1,0.10873069149053409,0.08088348645762576,0.22605539011034154,0.19180038122383308,9.956329149143553,61.68299864266756
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5949017846660761,0.47848760930612527,4-to-1,0.30568828500075396,0.09854908146454001,0.6911922605379177,-0.710744020432505,0.712290646489432,-0.7357112831281727
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5956178504611828,0.5290325680279611,2-to-1,0.3276899221761419,0.10300564725941944,0.49216178864388244,-0.001326190963977639,25.70545517166953,134.73314428111752
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.38272436359049056,0.30782950277623544,4-to-1,0.09574316679060975,0.014880264662258015,0.3344356583032812,-0.7117587118945258,0.34306877931134,-0.7752092851333962
63,Matrix B,WebServer,2.0,0.7311332739938902,0.8088832507076631,0.6107368123579846,2-to-1,0.4898917381270441,0.1921206422556873,1.321579813308545,-0.7764649978896551,1.3546168316130942,-0.8379570524678297
64,Matrix A,WebServer,1.0,0.4843775243854434,0.5041029451037612,0.45318832889468963,2-to-1,0.20045635842253592,0.08308873738258954,0.3422490036925757,0.08343949579065478,19.049415101842246,98.65739840383728
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.37986612515141305,0.28521209833681893,1-to-1,0.0690754301096208,0.007099226470351237,0.36003895739780195,-0.7234435451899929,0.3696899089147399,-0.7730467588117026
66,Matrix B,WebServer,2.0,0.35548132138250854,0.39334719744705754,0.2917490216425338,1-to-1,0.07561718351330107,0.06434202953331081,0.32682289838584466,-0.7003857952549584,0.33859998882461495,-0.769693943607339
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.42408185165076545,0.1747083777430539,2-to-1,0.06729570183932865,0.028799472291796326,1.5051518505934587,0.19685500194759628,0.22166590923199567,-0.45993769789918987
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2829639970541257,0.21364829774743696,2-to-1,0.048988681770629976,0.05481845303121552,0.19495693606852685,-0.6810226592550277,0.2018974299842614,-0.7396849785368975
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.36203009313000983,0.14295533360967835,1-to-1,0.05362765079648481,0.044881089328324804,1.188068421882302,0.2746490248700727,0.18396240870671302,-0.5027222474650901
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5208051064438921,0.3309851398663476,4-to-1,0.17194865023880976,0.07075346859875058,0.167104615831777,0.1439726150951591,2.311964630829545,15.881933286812973
71,Matrix A,Hadoop,2.0,0.705462539767861,0.7428242121980062,0.6597824431828552,2-to-1,0.7388387804130386,0.16755268576692983,0.7519542848321242,-0.1064984406084815,31.735628109151122,124.31144391829264
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.5099559572055563,0.4101633020557801,4-to-1,0.20422348182678926,0.04931051809504148,0.5393319017816286,-0.7030593593270543,0.5550764739542837,-0.7473566150900325
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7594618334015115,0.6145208004725141,1-to-1,0.4255582979819294,0.07238678056259701,1.7525400279622474,-0.8290249896474103,1.7657995577985564,-0.8331006752167343
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6543663589244127,0.4940725225858281,2-to-1,0.21954569123165657,0.10596431233076893,0.7976295797652382,-0.733770686825487,0.821906456097154,-0.8090879060280118
75,Matrix A,WebServer,1.0,0.34691401838273683,0.3609366085008988,0.3244818543960278,2-to-1,0.0963478765045921,0.07876832472251781,0.20181258791841208,0.2094057203768064,7.9501455332472695,50.18145498946406
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5222280537752275,0.33244277309396375,4-to-1,0.15742377281876105,0.12040668728991596,0.15017562573268606,0.19782675551474896,2.0880660557416384,13.309683261792964
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.47811989362648677,0.3868721334651286,1-to-1,0.11841228666268003,0.017311671640043328,0.6480010236828042,-0.6973572245256994,0.6556506938336883,-0.7066498796924559
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5300720929439636,0.3368745499101208,4-to-1,0.18144488196365866,0.07267481262448149,0.17177591000413703,0.1370701071514248,3.139027456024869,22.522904953969064
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5516208764435674,0.2710841567315764,4-to-1,0.041070216065977216,0.0331800300579947,2.0743333100102155,0.194438625895042,0.6074514547791465,-0.16959858748442708
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7740497108534419,0.651529997574079,1-to-1,0.589048493833285,0.1433414069674385,0.8230801477450291,-0.1376826741423254,32.927059047690555,117.66973464267264
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6104894643393427,0.2637037540467938,2-to-1,0.08865178420686434,0.051900883998398574,2.9795308959048796,0.2084787032069283,0.8789195155754287,0.0004954775693957113
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.39647693909093,0.3337215766817767,1-to-1,0.08582934591388534,0.02016737392248981,0.24539822354859775,0.0806276254396386,13.109798077745566,90.2370503765124
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5684355918996463,0.2455383889157126,2-to-1,0.07416313434602798,0.03943787011433996,2.5620177710285144,0.20511134503692494,0.7415857535384017,-0.06515954462859293
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6631040261905273,0.4221215372118995,4-to-1,0.40726471224164623,0.2837542186548309,0.23192796842952373,0.18379642381433176,9.940256427188771,60.70328032777537
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6334046121023982,0.5592281663734591,1-to-1,0.32892582577899626,0.1094123999300541,0.44666902236577544,-0.0646586590821081,1182.5574008116168,3433.538734707238
86,Matrix C,WebServer,2.0,0.308329956610627,0.3261340101772696,0.15406203184980846,4-to-1,0.055788644661429417,0.03312837289343637,0.9580337790108617,0.6630596455289726,0.14326596516717152,-0.49192474496097943
