id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.3975397662168788,0.305510196583917,4-to-1,0.09068582262801327,0.01948838207721701,0.08765668568796343,0.018056281213940994
63,Matrix B,WebServer,2.0,0.7311332739938902,0.7360256820330301,0.6076022957123862,2-to-1,0.4309717431068707,0.15147210114890716,0.4264331176888183,0.1490449694005826
64,Matrix A,WebServer,1.0,0.4843775243854434,0.5337457532029726,0.4493654668348504,2-to-1,0.18818555098875983,0.08749619530861498,0.16648246736624872,0.08878144171604664
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.35126021019141396,0.28359697519849814,1-to-1,0.0679760442612445,0.013233590141436541,0.06461078009875011,0.0102841451898517
66,Matrix B,WebServer,2.0,0.35548132138250854,0.35794646374399947,0.2910209626508448,1-to-1,0.07455073023394791,0.06230365092382421,0.07230869936388185,0.06352732769001934
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4401972045607637,0.17860781497336956,2-to-1,0.07130122049788687,0.027186219571734848,0.09367942431117744,0.0486088237609905
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2575055316501516,0.2125753980621026,2-to-1,0.0471036242905819,0.04578168504012722,0.042024662392463705,0.03993814929814663
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.3757840434117162,0.14637090305703196,1-to-1,0.058084676595857254,0.04104627349536425,0.0844608394148573,0.073418025612512
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5264984102448356,0.32953616643910855,4-to-1,0.16089813383391968,0.06990392680522964,0.1539594326201364,0.06349194444666216
71,Matrix A,Hadoop,2.0,0.705462539767861,0.7837929783326926,0.6552647571962426,2-to-1,0.660459410378441,0.15752774711487263,0.648520251384939,0.1663171885496551
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.5297063526885122,0.4070805128610899,4-to-1,0.1894137616539972,0.04183696705499443,0.18022875368581212,0.0404724881323618
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7476713571588025,0.6121324002864661,1-to-1,0.40838713552234596,0.06747243714250509,0.399343840356874,0.0624760320269751
74,Matrix B,WebServer,1.0,0.5909489223635469,0.592627596612443,0.4892315551891312,2-to-1,0.2060196295694942,0.09439580263081865,0.2013919933165135,0.0955931016212382
75,Matrix A,WebServer,1.0,0.34691401838273683,0.38207580390765306,0.3216731385049819,2-to-1,0.09280272444405739,0.08639530512978501,0.07488117873919145,0.0646833217779557
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5283323358639657,0.3304181573849349,4-to-1,0.1547027928567807,0.13461648236118717,0.1686770618760169,0.1621981273884896
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.4707208399442329,0.38538787779476946,1-to-1,0.11754093079766441,0.01235714620109651,0.11494864471962071,0.012961115883811847
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5358173056351139,0.33536887745902827,4-to-1,0.1698021890113271,0.07123392100621169,0.15918613226249767,0.06189764242210888
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5595463864623555,0.27018939402367215,4-to-1,0.04335751381486678,0.04191946998569712,0.04346654870885496,-0.014557760139742915
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.8167962455670325,0.6481477750872138,1-to-1,0.5334442854761879,0.1368539054328903,0.5096530070547526,0.15241624113439298
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6239129204276983,0.2650556459063733,2-to-1,0.08782105937739194,0.058908818903770234,0.2175110800264485,0.23685882664781174
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.4189550844971574,0.33245773506301896,1-to-1,0.08165702140227137,0.01968882914300945,0.05689276534375312,0.010990332392832852
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5809763160458948,0.2468149763372368,2-to-1,0.07261835987285921,0.04293766584576603,0.19527634916527362,0.19351144822454966
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6700008701528225,0.41901345560318276,4-to-1,0.38781466881280213,0.2960608138600514,0.41511965346499935,0.32316460994617313
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6391299436556912,0.5548140235866439,1-to-1,0.3181617084723572,0.10617481463478105,0.34869674029502923,0.1312477368968448
86,Matrix C,WebServer,2.0,0.308329956610627,0.345162879609107,0.15617460587594548,4-to-1,0.05411929148555995,0.028944680802621244,0.0696427507062403,0.08096134389779781
