id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6648835154376788,0.25897394536937146,1-to-1,0.5325996064429112,0.12055026208888724,0.3360021514591588,-0.1015543444868586,0.3360021514591588,-0.1015543444868586,0.5325996064429112,0.12055026208888724
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7575234311404226,0.30736134496203404,2-to-1,0.8437310047072007,0.17070652255245222,0.663058522678064,-0.15453374670231323,0.663058522678064,-0.15453374670231323,0.8437310047072007,0.17070652255245222
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.27180358604857663,0.2491413370344422,2-to-1,0.12813741986754346,0.030073232843863977,0.06722779512916319,0.02743721114462947,0.05745009602379749,0.014247522006798298,0.12813741986754346,0.030073232843863977
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5710987833446594,0.23172047610857774,2-to-1,0.5066838463162007,0.07389374100977612,0.2074195510543671,-0.04292945541342543,0.2074195510543671,-0.04292945541342543,0.5066838463162007,0.07389374100977612
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33847337457733995,0.21167867795996198,4-to-1,0.11313835405841122,0.46355882814363897,0.017105388032001467,0.0746649547646669,0.015350376169488984,0.12801014153670606,0.11313835405841122,0.46355882814363897
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5718046646524452,0.24291717326437862,2-to-1,0.30906243588926396,0.09008816160628359,0.35784575304105526,-0.07307734230620806,0.35784575304105526,-0.07307734230620806,0.30906243588926396,0.09008816160628359
43,Matrix C,WebServer,2.0,0.4920141804432579,0.550831253998575,0.21402574564002447,1-to-1,0.47806806879363506,0.046118517471413004,0.13531105773569213,-0.03959291318860503,0.13531105773569213,-0.03959291318860503,0.47806806879363506,0.046118517471413004
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.2971656724257859,0.23961861643607346,4-to-1,0.1906493981713678,-0.1664110467635133,0.042295206958365285,-0.001276699218127859,0.03565165105393062,-0.043640006695492235,0.1906493981713678,-0.1664110467635133
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.33479184049334504,0.25728827577072627,4-to-1,0.06628236616202372,0.12806540934801008,0.03355241429321256,-0.04229811212349804,0.02863186590995696,-0.057408855512597085,0.06628236616202372,0.12806540934801008
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5274056523178261,0.4185176290303591,1-to-1,0.15835986289988835,0.022788069898047752,0.07082356549228694,-0.04173705214450566,0.08201908632283164,-0.10482642833751282,0.15835986289988835,0.022788069898047752
47,Matrix A,WebServer,2.0,0.6494533494271933,0.6729868406529171,0.42088085930964775,4-to-1,0.20753805200747155,0.24438953435955493,0.04509766069447759,-0.035955940095753355,0.029257891822051702,-0.011744288930077892,0.20753805200747155,0.24438953435955493
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.5408087976769338,0.4427673727980769,1-to-1,0.2526351715671139,-0.05907107175524671,0.2233474275506942,-0.03966872842985144,0.12229589716648964,-0.09518880245992785,0.2526351715671139,-0.05907107175524671
49,Matrix A,WebServer,2.0,0.2777694326655076,0.3054348910017457,0.2571508445877292,2-to-1,0.09794763391175851,0.13927639877270104,0.01961574412452756,0.013580800818705786,0.019404131568789333,0.005661613603210799,0.09794763391175851,0.13927639877270104
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6923034695320553,0.5493706889736565,1-to-1,0.4640972725518048,0.07472757340771329,0.17100738248099429,-0.07937924739627206,0.14006975399931726,-0.0405250084309412,0.4640972725518048,0.07472757340771329
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.46164408587877637,0.29621112248578785,4-to-1,0.10379577390933978,0.05385619150663212,0.05376600249008398,0.028588398873515324,0.04031447548825934,-0.011834203993143555,0.10379577390933978,0.05385619150663212
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6275988282643294,0.2550433104573287,1-to-1,0.4312976983074239,0.05884330712344345,0.5355163228911686,-0.1239654235190974,0.5355163228911686,-0.1239654235190974,0.4312976983074239,0.05884330712344345
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7646978926837265,0.3107609233276156,1-to-1,1.2899336663724927,0.14978743211035508,1.834435607082598,-0.2365870373763718,1.834435607082598,-0.2365870373763718,1.2899336663724927,0.14978743211035508
